State,Senator,Party,Election Year,,
IA,Chuck Grassley,Republican,1980,,
IA,Chuck Grassley,Republican,1986,,
IA,Chuck Grassley,Republican,1992,,
IA,Chuck Grassley,Republican,1998,,
IA,Chuck Grassley,Republican,2004,,
IA,Chuck Grassley,Republican,2010,,
IA,Chuck Grassley,Republican,2016,,
IA,Tom Harkin,Democrat,1984,,
IA,Tom Harkin,Democrat,1990,,
IA,Tom Harkin,Democrat,1996,,
IA,Tom Harkin,Democrat,2002,,
IA,Tom Harkin,Democrat,2008,,
IA,Joni Ernst,Republican,2014,,
KT,Mitch McConnell,Republican,1984,,
KT,Mitch McConnell,Republican,1990,,
KT,Mitch McConnell,Republican,1996,,
KT,Mitch McConnell,Republican,2002,,
KT,Mitch McConnell,Republican,2008,,
KT,Mitch McConnell,Republican,2014,,
KT,Jim Bunning,Republican,1998,,
KT,Jim Bunning,Republican,2004,,
KT,Rand Paul,Republican,2010,,
KT,Rand Paul,Republican,2016,,
AL,Richard Shelby,Republican,1986,,
AL,Richard Shelby,Republican,1992,,
AL,Richard Shelby,Republican,1998,,
AL,Richard Shelby,Republican,2004,,
AL,Richard Shelby,Republican,2010,,
AL,Jeff Sessions,Republican,1996,,
AL,Jeff Sessions,Republican,2002,,
AL,Jeff Sessions,Republican,2008,,
AL,Jeff Sessions,Republican,2014,,
AL,Luther Strange,Republican,2017,,
AL,Doug Jones,Democrat,2018,,
VT,Patrick Leahy,Democrat,1975,,
VT,Patrick Leahy,Democrat,1981,,
VT,Patrick Leahy,Democrat,1987,,
VT,Patrick Leahy,Democrat,1993,,
VT,Patrick Leahy,Democrat,1999,,
VT,Patrick Leahy,Democrat,2005,,
VT,Patrick Leahy,Democrat,2011,,
VT,Patrick Leahy,Democrat,2017,,
VT,Robert Stafford,Republican,1972,,
VT,Robert Stafford,Republican,1976,,
VT,Robert Stafford,Republican,1982,,
VT,Jim Jeffords,Republican,1988,,
VT,Jim Jeffords,Republican,1994,,
VT,Jim Jeffords,Republican,2000,,
VT,Bernie Sanders,Democrat,2006,,
VT,Bernie Sanders,Democrat,2012,,
VT,Bernie Sanders,Democrat,2018,,
CA,Diane Feinstein,Democrat,1992,,
CA,Diane Feinstein,Democrat,1994,,
CA,Diane Feinstein,Democrat,2000,,
CA,Diane Feinstein,Democrat,2006,,
CA,Diane Feinstein,Democrat,2012,,
CA,Diane Feinstein,Democrat,2018,,
CA,Kamala Harris,Democrat,2017,,
CA,Barbara Boxer,Democrat,1993,,
CA,Barbara Boxer,Democrat,1999,,
CA,Barbara Boxer,Democrat,2005,,
CA,Barbara Boxer,Democrat,2011,,
WA,Patty Murray,Democrat,1993,,
WA,Patty Murray,Democrat,1999,,
WA,Patty Murray,Democrat,2005,,
WA,Patty Murray,Democrat,2011,,
WA,Patty Murray,Democrat,2017,,
WA,Maria Cantwell,Democrat,2001,,
WA,Maria Cantwell,Democrat,2007,,
WA,Maria Cantwell,Democrat,2013,,
WA,Maria Cantwell,Democrat,2019,,
